	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70
1	2.7337	2.75749	2.69615	2.49718	2.25066	2.06593	1.97183	1.96226	2.02954	2.15577	2.31275	2.4765	2.62442	2.74518	2.86566	2.99284	3.08101	3.10804	3.06899	2.97169	2.85728	2.76166	2.6969	2.6582	2.61918	2.54953	2.4509	2.31603	2.14731	1.97705	1.82979	1.72315	1.73546	1.85528	1.86718	1.68403	1.46643	1.31896	1.24905	1.24919	1.31312	1.33238	1.18577	0.936171	0.707488	0.545436	0.442893	0.384562	0.340934	0.264161	0.159523	0.074999	0.0211285	-0.0212206	-0.0562643	-0.0848752	-0.109973	-0.13048	-0.146893	-0.158332	-0.164345	-0.176495	-0.190626	-0.199791	-0.205652	-0.211033	-0.218578	-0.220852	-0.219569	-0.222567
2	2.69207	2.71974	2.66469	2.47707	2.23953	2.06322	1.97402	1.96696	2.03601	2.15998	2.31701	2.48348	2.63109	2.75002	2.86981	2.99303	3.075	3.09591	3.05119	2.95145	2.83442	2.73847	2.67767	2.64045	2.60371	2.54151	2.44589	2.31152	2.14501	1.97739	1.83272	1.72734	1.7415	1.86261	1.8713	1.68786	1.47482	1.32753	1.25756	1.25832	1.31871	1.32661	1.16675	0.91267	0.687069	0.529059	0.430311	0.375004	0.329615	0.247964	0.143153	0.0615982	0.0103516	-0.0311194	-0.0680512	-0.0945141	-0.118504	-0.138964	-0.154236	-0.164692	-0.173929	-0.187469	-0.200575	-0.208644	-0.215409	-0.220975	-0.227275	-0.230299	-0.23133	-0.235435
3	2.6802	2.72484	2.67093	2.46018	2.19179	1.98985	1.88122	1.85765	1.92203	2.05604	2.22832	2.4155	2.58783	2.73785	2.89791	3.05393	3.14655	3.16093	3.10143	2.98858	2.86764	2.76907	2.71116	2.6847	2.66086	2.60896	2.51957	2.37514	2.18507	1.99511	1.83059	1.70412	1.71003	1.8462	1.8605	1.65965	1.42643	1.27265	1.20886	1.22807	1.32003	1.3531	1.18667	0.919224	0.694562	0.545837	0.463508	0.428059	0.395785	0.308467	0.182182	0.0832952	0.0253555	-0.0196762	-0.0573405	-0.0853092	-0.107508	-0.126244	-0.141876	-0.152606	-0.162949	-0.179891	-0.193525	-0.201401	-0.208844	-0.215845	-0.224188	-0.22932	-0.233483	-0.241368
4	2.7038	2.72435	2.65938	2.46159	2.22005	2.04216	1.95379	1.94423	2.01284	2.14234	2.30316	2.4717	2.62504	2.75125	2.87603	3.00644	3.09576	3.11649	3.0695	2.96713	2.84523	2.74265	2.67336	2.63209	2.59494	2.52922	2.434	2.29717	2.12864	1.95813	1.80942	1.70171	1.71023	1.82385	1.82766	1.64284	1.43168	1.28889	1.22186	1.2264	1.29815	1.32551	1.18384	0.940698	0.71907	0.562885	0.466109	0.411617	0.369741	0.292838	0.185037	0.0951288	0.0406503	-0.00225549	-0.0405612	-0.0690147	-0.0925071	-0.113163	-0.129379	-0.139696	-0.147502	-0.159288	-0.171121	-0.178675	-0.184991	-0.191294	-0.196816	-0.198475	-0.19957	-0.202641
5	2.69301	2.71947	2.66327	2.47772	2.24612	2.07229	1.98572	1.97839	2.04733	2.17215	2.32648	2.49241	2.64041	2.75767	2.87393	2.99427	3.07032	3.08586	3.04224	2.94387	2.82611	2.73001	2.66931	2.63292	2.5955	2.53037	2.43266	2.29309	2.12694	1.9641	1.82225	1.7147	1.72572	1.844	1.85299	1.67086	1.45893	1.31377	1.24392	1.24072	1.30111	1.31464	1.16125	0.911893	0.684781	0.527325	0.429494	0.374097	0.32831	0.245594	0.137371	0.052548	0.00087091	-0.0408912	-0.0765606	-0.102576	-0.124999	-0.144819	-0.159647	-0.16878	-0.177232	-0.190346	-0.202452	-0.209252	-0.216326	-0.220704	-0.225423	-0.227274	-0.227416	-0.231582
6	2.75851	2.79175	2.72691	2.50565	2.22868	2.02013	1.91979	1.91399	1.98863	2.12883	2.3061	2.49329	2.66116	2.79751	2.93719	3.08538	3.18603	3.20995	3.15553	3.04097	2.91489	2.81355	2.75024	2.71537	2.67617	2.60022	2.48569	2.33021	2.14063	1.95004	1.7843	1.66322	1.68155	1.81942	1.82491	1.61458	1.37552	1.2104	1.13428	1.14873	1.24395	1.28341	1.12518	0.864603	0.643671	0.493946	0.400833	0.350691	0.307764	0.230932	0.133035	0.0545001	0.00747318	-0.0308185	-0.0651454	-0.0903537	-0.110744	-0.128127	-0.144966	-0.156821	-0.162301	-0.174601	-0.18707	-0.194607	-0.201573	-0.206993	-0.214086	-0.218321	-0.221832	-0.227174
7	2.76854	2.80245	2.73522	2.50547	2.21696	2.00129	1.90047	1.8974	1.97903	2.12465	2.30494	2.49356	2.66106	2.79779	2.93625	3.08223	3.18617	3.21796	3.17204	3.06183	2.93449	2.83059	2.76433	2.72407	2.68032	2.60281	2.48835	2.33201	2.14801	1.95983	1.78878	1.66879	1.69123	1.83176	1.84175	1.63219	1.39112	1.22581	1.14553	1.15289	1.24547	1.28695	1.13487	0.880203	0.659583	0.508544	0.413562	0.357294	0.314416	0.245309	0.154549	0.0809886	0.0322488	-0.00723462	-0.0391679	-0.0635683	-0.0862278	-0.106884	-0.122032	-0.131245	-0.138861	-0.153178	-0.167364	-0.175868	-0.183996	-0.191634	-0.198095	-0.20141	-0.203904	-0.210207
8	2.64818	2.67515	2.62734	2.45271	2.23579	2.07405	1.98837	1.96898	2.01903	2.13031	2.27619	2.43144	2.57258	2.69191	2.81554	2.94236	3.0168	3.02275	2.97525	2.88142	2.77053	2.67736	2.61556	2.58289	2.55339	2.49822	2.41836	2.29538	2.13395	1.97298	1.83367	1.72636	1.7287	1.83493	1.8399	1.66901	1.46914	1.33106	1.26857	1.27531	1.33964	1.35946	1.22077	0.982977	0.762548	0.606888	0.515189	0.469566	0.432877	0.348105	0.221982	0.122382	0.0637931	0.0183951	-0.0205845	-0.0511669	-0.0783045	-0.102317	-0.117868	-0.126966	-0.135346	-0.150127	-0.166365	-0.176046	-0.181907	-0.185969	-0.191324	-0.19428	-0.195845	-0.200677
9	2.71173	2.73168	2.66997	2.47227	2.22429	2.03894	1.94922	1.94498	2.01572	2.14461	2.3065	2.4759	2.62592	2.74866	2.87146	2.99984	3.08969	3.10997	3.06251	2.96131	2.84279	2.74364	2.67897	2.63924	2.59827	2.52759	2.42597	2.28671	2.11915	1.95286	1.80577	1.69852	1.71256	1.83432	1.8407	1.65229	1.43572	1.28808	1.2167	1.21874	1.28946	1.31447	1.17055	0.92772	0.710095	0.558504	0.461704	0.405237	0.362423	0.287974	0.189792	0.111481	0.0621144	0.0213352	-0.0142148	-0.0402374	-0.0620855	-0.082292	-0.0984829	-0.108332	-0.116461	-0.13067	-0.145184	-0.155749	-0.163039	-0.168652	-0.174561	-0.177919	-0.179199	-0.184468
10	2.65677	2.69496	2.65224	2.48043	2.26766	2.10781	2.00717	1.95698	1.98335	2.07999	2.21858	2.37637	2.52567	2.65782	2.79974	2.94071	3.01566	3.01605	2.96043	2.85841	2.74362	2.65032	2.59078	2.55778	2.53196	2.48549	2.41025	2.28496	2.11012	1.93457	1.78687	1.66449	1.64724	1.74792	1.75212	1.57544	1.36935	1.22781	1.16557	1.18573	1.27736	1.31679	1.18176	0.951842	0.756753	0.6308	0.568358	0.563669	0.565604	0.474637	0.304183	0.166859	0.094066	0.0425289	-0.00403181	-0.0389641	-0.0642188	-0.0867439	-0.10565	-0.119251	-0.131661	-0.146781	-0.162387	-0.173612	-0.182142	-0.191491	-0.201555	-0.207891	-0.213446	-0.222923
